observations: 363139
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  9.329743e+05    0.00e+00    3.14e+05   0.00e+00   0.00e+00  1.00e+04        0    2.65e-01    8.25e-01
   1  6.353199e+05    2.98e+05    1.50e+05   0.00e+00   9.67e-01  3.00e+04        1    2.45e+01    2.53e+01
   2  6.249163e+05    1.04e+04    1.26e+06   9.97e+02   7.61e-01  3.50e+04        1    2.28e+01    4.81e+01
   3  6.231943e+05    1.72e+03    8.76e+05   6.70e+02   4.28e-01  3.49e+04        1    2.41e+01    7.22e+01
   4  1.051442e+06   -4.28e+05    8.76e+05   4.83e+02  -1.64e+02  1.74e+04        1    2.47e+01    9.69e+01
   5  5.093538e+11   -5.09e+11    8.76e+05   2.83e+02  -2.00e+08  4.36e+03        1    2.42e+01    1.21e+02
   6  6.422997e+05   -1.91e+04    8.76e+05   9.05e+01  -7.83e+00  5.45e+02        1    2.42e+01    1.45e+02
   7  6.225736e+05    6.21e+02    5.83e+04   2.03e+01   2.63e-01  4.93e+02        1    2.34e+01    1.69e+02
   8  6.208396e+05    1.73e+03    6.41e+03   1.30e+01   9.77e-01  1.48e+03        1    2.42e+01    1.93e+02
   9  6.207623e+05    7.73e+01    4.57e+02   3.36e+01   1.02e+00  4.43e+03        1    2.42e+01    2.17e+02
  10  6.207075e+05    5.48e+01    9.76e+03   8.66e+01   9.56e-01  1.33e+04        1    2.41e+01    2.41e+02
  11  6.208159e+05   -1.08e+02    9.76e+03   2.08e+02  -1.22e+00  6.65e+03        1    2.40e+01    2.65e+02
  12  6.206559e+05    5.16e+01    5.37e+03   1.14e+02   8.92e-01  1.29e+04        1    2.44e+01    2.90e+02
  13  6.206037e+05    5.23e+01    1.38e+04   1.87e+02   7.10e-01  1.39e+04        1    2.41e+01    3.14e+02
  14  6.205560e+05    4.77e+01    1.46e+04   1.77e+02   6.39e-01  1.42e+04        1    2.46e+01    3.38e+02
  15  6.596027e+05   -3.90e+04    1.46e+04   1.61e+02  -5.53e+02  7.11e+03        1    2.47e+01    3.63e+02
  16  6.207592e+05   -2.03e+02    1.46e+04   8.59e+01  -3.73e+00  1.78e+03        1    2.37e+01    3.87e+02
  17  6.205167e+05    3.92e+01    1.64e+02   2.29e+01   1.01e+00  5.33e+03        1    2.33e+01    4.10e+02
  18  6.205005e+05    1.63e+01    2.18e+03   6.54e+01   9.01e-01  1.10e+04        1    2.37e+01    4.34e+02
  19  6.204670e+05    3.35e+01    1.04e+04   1.23e+02   1.06e+00  3.30e+04        1    2.40e+01    4.58e+02
  20  6.269058e+05   -6.44e+03    1.04e+04   2.94e+02  -1.19e+02  1.65e+04        1    2.35e+01    4.81e+02
  21  6.205794e+05   -1.12e+02    1.04e+04   1.63e+02  -3.34e+00  4.13e+03        1    2.33e+01    5.04e+02
  22  6.204546e+05    1.24e+01    1.38e+03   4.52e+01   1.04e+00  1.24e+04        1    2.40e+01    5.28e+02
  23  6.204271e+05    2.75e+01    1.40e+04   1.24e+02   1.06e+00  3.72e+04        1    2.35e+01    5.52e+02
  24  6.204578e+05   -3.07e+01    1.40e+04   2.95e+02  -6.25e-01  1.86e+04        1    2.42e+01    5.76e+02
  25  6.203998e+05    2.73e+01    3.33e+04   1.64e+02   9.01e-01  3.84e+04        1    2.38e+01    6.00e+02
  26  6.204460e+05   -4.62e+01    3.33e+04   2.75e+02  -9.59e-01  1.92e+04        1    2.36e+01    6.24e+02
  27  6.203870e+05    1.28e+01    3.68e+04   1.53e+02   4.02e-01  1.91e+04        1    2.41e+01    6.48e+02
  28  6.210032e+05   -6.16e+02    3.68e+04   1.39e+02  -1.42e+01  9.54e+03        1    2.44e+01    6.72e+02
  29  6.203632e+05    2.38e+01    8.95e+03   7.36e+01   6.91e-01  1.01e+04        1    2.42e+01    6.96e+02
  30  6.203491e+05    1.41e+01    1.03e+04   7.51e+01   5.90e-01  1.02e+04        1    2.43e+01    7.21e+02
  31  6.203281e+05    2.10e+01    1.07e+04   7.26e+01   9.92e-01  3.05e+04        1    2.40e+01    7.45e+02
  32  6.203287e+05   -6.61e-01    1.07e+04   1.91e+02  -2.80e-02  1.52e+04        1    2.40e+01    7.69e+02
  33  6.203174e+05    1.07e+01    2.50e+04   1.02e+02   7.59e-01  1.77e+04        1    2.35e+01    7.92e+02
  34  6.205298e+05   -2.12e+02    2.50e+04   1.12e+02  -1.25e+01  8.84e+03        1    2.93e+01    8.21e+02
  35  6.203131e+05    4.38e+00    8.39e+03   5.82e+01   3.90e-01  8.75e+03        1    2.92e+01    8.51e+02
  36  6.203034e+05    9.67e+00    8.37e+03   5.67e+01   7.03e-01  9.38e+03        1    3.03e+01    8.81e+02
  37  6.202929e+05    1.05e+01    9.84e+03   5.96e+01   9.90e-01  2.81e+04        1    3.06e+01    9.12e+02
  38  6.202862e+05    6.75e+00    9.64e+04   1.65e+02   4.40e-01  2.81e+04        1    2.86e+01    9.40e+02
  39  7.143147e+05   -9.40e+04    9.64e+04   1.53e+02  -4.30e+03  1.40e+04        1    2.86e+01    9.69e+02
  40  6.209814e+05   -6.95e+02    9.64e+04   7.99e+01  -4.32e+01  3.51e+03        1    2.96e+01    9.98e+02
