observations: 572171
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.433311e+06    0.00e+00    3.09e+06   0.00e+00   0.00e+00  1.00e+04        0    6.26e-01    1.72e+00
   1  9.632083e+05    4.70e+05    6.13e+05   0.00e+00   9.57e-01  3.00e+04        1    5.53e+01    5.71e+01
   2  9.471361e+05    1.61e+04    2.72e+06   1.77e+04   5.05e-01  3.00e+04        1    5.37e+01    1.11e+02
   3  9.479234e+05   -7.87e+02    2.72e+06   5.30e+03  -4.21e-02  1.50e+04        1    5.13e+01    1.62e+02
   4  9.405831e+05    6.55e+03    7.20e+05   5.31e+03   3.65e-01  1.47e+04        1    5.04e+01    2.12e+02
   5  9.312408e+05    9.34e+03    1.09e+05   2.96e+03   7.48e-01  1.68e+04        1    5.21e+01    2.64e+02
   6  9.290118e+05    2.23e+03    9.95e+04   2.37e+03   5.70e-01  1.68e+04        1    5.59e+01    3.20e+02
   7  9.282660e+05    7.46e+02    3.63e+05   1.60e+03   3.35e-01  1.62e+04        1    5.29e+01    3.73e+02
   8  9.289511e+05   -6.85e+02    3.63e+05   1.10e+03  -3.65e-01  8.11e+03        1    5.63e+01    4.30e+02
   9  9.281666e+05    9.94e+01    1.55e+05   6.80e+02   5.82e-02  4.80e+03        1    5.65e+01    4.86e+02
  10  9.298319e+05   -1.67e+03    1.55e+05   3.44e+02  -9.62e-01  2.40e+03        1    5.41e+01    5.40e+02
  11  9.287410e+05   -5.74e+02    1.55e+05   1.92e+02  -3.43e-01  6.00e+02        1    5.08e+01    5.91e+02
  12  9.277354e+05    4.31e+02    5.52e+04   6.35e+01   2.64e-01  5.43e+02        1    4.66e+01    6.38e+02
  13  9.268845e+05    8.51e+02    1.79e+04   5.02e+01   7.01e-01  5.81e+02        1    4.41e+01    6.82e+02
  14  9.267018e+05    1.83e+02    1.56e+04   4.63e+01   4.85e-01  5.81e+02        1    4.39e+01    7.26e+02
  15  9.265919e+05    1.10e+02    1.54e+04   4.39e+01   5.25e-01  5.81e+02        1    4.29e+01    7.69e+02
  16  9.265935e+05   -1.58e+00    1.54e+04   4.26e+01  -1.38e-02  2.91e+02        1    4.50e+01    8.14e+02
  17  9.265692e+05    2.27e+01    1.07e+04   2.17e+01   2.12e-01  2.44e+02        1    4.33e+01    8.57e+02
  18  9.265213e+05    4.79e+01    1.01e+04   1.80e+01   5.30e-01  2.44e+02        1    4.32e+01    9.00e+02
  19  9.265015e+05    1.98e+01    6.60e+03   1.78e+01   4.06e-01  2.42e+02        1    4.38e+01    9.44e+02
  20  9.264832e+05    1.83e+01    6.38e+03   1.75e+01   5.23e-01  2.43e+02        1    4.35e+01    9.87e+02
